Package	Version
abind	1.4-5
ade4	1.7-22
afex	1.3-1
amap	0.8-19
annotate	1.82.0
AnnotationDbi	1.66.0
AnnotationFilter	1.28.0
AnnotationHub	3.12.0
ape	5.8
apeglm	1.26.1
aplot	0.2.3
arrow	16.1.0
ashr	2.2-63
askpass	1.2.0
assertthat	0.2.1
AUCell	1.26.0
babelgene	22.9
backports	1.5.0
bamsignals	1.36.0
batchelor	1.20.0
BayesFactor	0.9.12-4.7
bayestestR	0.14.0
bbmle	1.0.25.1
bdsmatrix	1.3-7
beachmat	2.18.1
bedr	1.0.7
beeswarm	0.4.0
bezier	1.1.2
BH	1.84.0-0
biglm	0.9-3
Biobase	2.64.0
BiocFileCache	2.12.0
BiocGenerics	0.50.0
BiocIO	1.14.0
BioCircos	0.3.4
BiocManager	1.30.25
BiocNeighbors	1.20.2
BiocParallel	1.38.0
BiocSingular	1.18.0
BiocVersion	3.18.1
biocViews	1.72.0
biomaRt	2.60.1
Biostrings	2.70.3
biovizBase	1.52.0
bit	4.0.5
bit64	4.0.5
bitops	1.0-8
blob	1.2.4
bluster	1.14.0
bmp	0.3
bookdown	0.40
boot	1.3-31
brew	1.0-10
brio	1.1.5
broom	1.0.6
broom.helpers	1.17.0
broom.mixed	0.2.9.5
BSgenome	1.72.0
BSgenome.Mmusculus.UCSC.mm10	1.4.3
bslib	0.8.0
BWStest	0.2.3
cachem	1.1.0
Cairo	1.6-2
callr	3.7.6
car	3.1-2
carData	3.0-5
cards	0.2.1
caret	6.0-94
caTools	1.18.2
cellranger	1.1.0
checkmate	2.3.2
ChIPseeker	1.40.0
circlize	0.4.16
class	7.3-22
classInt	0.4-10
cli	3.6.3
clock	0.7.1
clue	0.3-65
cluster	2.1.6
clusterGeneration	1.3.8
clusterProfiler	4.12.0
CNEr	1.40.0
coda	0.19-4.1
codetools	0.2-20
coin	1.4-3
colorspace	2.1-1
colourpicker	1.3.0
combinat	0.0-8
commonmark	1.9.1
ComplexHeatmap	2.20.0
config	0.3.2
conflicted	1.2.0
contfrac	1.1-12
correlation	0.8.5
corrplot	0.94
cowplot	1.1.3
cpp11	0.5.0
crayon	1.5.3
credentials	2.0.1
crosstalk	1.2.1
crul	1.5.0
curl	5.2.2
data.table	1.14.8
datawizard	0.12.2
DBI	1.2.3
dbplyr	2.5.0
dbscan	1.2-0
DDRTree	0.1.5
DelayedArray	0.30.1
DelayedMatrixStats	1.26.0
deldir	2.0-4
dendextend	1.17.1
DEoptimR	1.1-3
Deriv	4.1.3
desc	1.4.3
DESeq2	1.44.0
deSolve	1.40
devtools	2.4.5
diagram	1.6.5
dials	1.3.0
DiceDesign	1.10
dichromat	2.0-0.1
diffobj	0.3.5
digest	0.6.37
diptest	0.77-1
discrim	1.0.1
DNAcopy	1.78.0
doBy	4.6.22
docopt	0.7.1
doFuture	1.0.1
doParallel	1.0.17
DOSE	3.30.2
dotCall64	1.1-1
DoubletFinder	2.0.4
downlit	0.4.4
